201509040060000700000000000000425643000000000000004256439900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425644000000000000004256449900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425645000000000000004256459900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425651000000000000004256519900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000700000000000000425652000000000000004256529900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509040060000900000000000000022872000000000000000228729900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150914
201509160060000800000000000000138397000000000000001383979900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639406000000000000006394069900000000000000000000Consumidor Final              000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639407000000000000006394079900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138398000000000000001383989900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138399000000000000001383999900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138400000000000000001384009900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138401000000000000001384019900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639412000000000000006394129900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138402000000000000001384029900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138403000000000000001384039900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138404000000000000001384049900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427375000000000000004273759900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639420000000000000006394209900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639421000000000000006394219900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000300000000000000106525000000000000001065259900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427364000000000000004273649900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427365000000000000004273659900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000400000000000000012369000000000000000123699900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427366000000000000004273669900000000000000000000Consumidor Final              000000000043000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639417000000000000006394179900000000000000000000Consumidor Final              000000000043000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639434000000000000006394349900000000000000000000Consumidor Final              000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639435000000000000006394359900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639436000000000000006394369900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639437000000000000006394379900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639438000000000000006394389900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138418000000000000001384189900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138419000000000000001384199900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138420000000000000001384209900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639445000000000000006394459900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639446000000000000006394469900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427370000000000000004273709900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000900000000000000023124000000000000000231249900000000000000000000Consumidor Final              000000000057000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639413000000000000006394139900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639414000000000000006394149900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639415000000000000006394159900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639416000000000000006394169900000000000000000000Consumidor Final              000000000057000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639422000000000000006394229900000000000000000000Consumidor Final              000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639423000000000000006394239900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639439000000000000006394399900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427383000000000000004273839900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639449000000000000006394499900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639450000000000000006394509900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639451000000000000006394519900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427389000000000000004273899900000000000000000000Consumidor Final              000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427390000000000000004273909900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
